filename,case,split
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=1280,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=1536,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=1792,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=256,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=0,y=768,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=1024,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=1280,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=1536,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1024,y=768,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=1024,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=1280,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=1536,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1280,y=768,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=0,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=1024,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=1280,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=1536,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1536,y=768,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=1024,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=1280,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=1536,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=512,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=1792,y=768,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=1024,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=1280,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=1536,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=256,y=768,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=1024,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=1280,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=1536,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=2048,w=512,h=512]",D017,val
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=512,y=768,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=0,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=1024,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=1280,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=1536,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=1792,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=2048,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=256,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=512,w=512,h=512]",D017,train
"D017_HE [d=5,x=26603,y=57077,w=9823,h=11032] [d=1,x=768,y=768,w=512,h=512]",D017,val
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=0,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=256,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=512,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=768,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=768,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=768,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=16018,y=42098,w=4520,h=5000] [d=1,x=768,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=0,y=512,w=512,h=512]",D001,val
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=0,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=256,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=512,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=768,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=768,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=768,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=30197,y=69434,w=4066,h=4031] [d=1,x=768,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=33617,y=61859,w=1055,h=1397] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=33617,y=61859,w=1055,h=1397] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=0,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=0,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=256,y=512,w=512,h=512]",D001,val
"D01_HE [d=5,x=40854,y=18985,w=2418,h=4093] [d=1,x=256,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=0,y=1024,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=0,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=256,y=1024,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=256,y=768,w=512,h=512]",D001,val
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=512,y=1024,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=512,y=768,w=512,h=512]",D001,val
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=768,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=768,y=1024,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=768,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=768,y=512,w=512,h=512]",D001,val
"D01_HE [d=5,x=42146,y=40099,w=4632,h=5551] [d=1,x=768,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=44608,y=61923,w=2449,h=2964] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=44608,y=61923,w=2449,h=2964] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=44608,y=61923,w=2449,h=2964] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=44608,y=61923,w=2449,h=2964] [d=1,x=256,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=44608,y=61923,w=2449,h=2964] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=44608,y=61923,w=2449,h=2964] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=0,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=256,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=512,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=512,y=512,w=512,h=512]",D001,val
"D01_HE [d=5,x=45052,y=31497,w=3285,h=3945] [d=1,x=512,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=0,y=512,w=512,h=512]",D001,val
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=45743,y=24086,w=2764,h=3708] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=46211,y=31661,w=1809,h=2112] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=46211,y=31661,w=1809,h=2112] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=46211,y=31661,w=1809,h=2112] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=46211,y=31661,w=1809,h=2112] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=0,y=512,w=512,h=512]",D001,val
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=256,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=768,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=768,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=46587,y=27585,w=4635,h=3571] [d=1,x=768,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=0,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=50236,y=30735,w=2628,h=3164] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=512,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=60754,y=23580,w=2612,h=3217] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=0,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=0,y=768,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=256,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=256,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=256,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=256,y=768,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=512,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=512,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=512,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=512,y=768,w=512,h=512]",D001,val
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=768,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=768,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=768,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=62515,y=20025,w=3926,h=4232] [d=1,x=768,y=768,w=512,h=512]",D001,train
"D01_HE [d=5,x=67924,y=17326,w=2834,h=3675] [d=1,x=0,y=0,w=512,h=512]",D001,val
"D01_HE [d=5,x=67924,y=17326,w=2834,h=3675] [d=1,x=0,y=256,w=512,h=512]",D001,val
"D01_HE [d=5,x=67924,y=17326,w=2834,h=3675] [d=1,x=0,y=512,w=512,h=512]",D001,train
"D01_HE [d=5,x=67924,y=17326,w=2834,h=3675] [d=1,x=256,y=0,w=512,h=512]",D001,train
"D01_HE [d=5,x=67924,y=17326,w=2834,h=3675] [d=1,x=256,y=256,w=512,h=512]",D001,train
"D01_HE [d=5,x=67924,y=17326,w=2834,h=3675] [d=1,x=256,y=512,w=512,h=512]",D001,train
