case,split,"class0: Background (um2)","class1: Immune cells (um2)","class2: plasma (um2)","class3: Fibro(loose) (um2)","class4: Fibro(dense,regular) (um2)","class5: Fibro(dense,irregular) (um2)","class6: lining (um2)","class7: vessel (um2)","class8: vessel(large) (um2)","class9: adipose (um2)","class10: Stroma (um2)","class11: muscle (um2)","class12: RBC (um2)"
D025,val,2310682.6,25652.2,2194.3,115441.6,0.0,0.0,81103.4,4150.4,0.0,0.0,0.0,0.0,8806.3
D026,train,8691874.5,14425.6,9564.4,903950.8,0.0,206727.9,127846.7,76217.9,0.0,138055.1,1259149.9,0.0,38325.8
D026,val,2242821.5,2336.4,3522.3,384871.8,0.0,13199.7,33013.9,23625.6,0.0,212740.9,884037.0,0.0,21877.2
D027,train,777839.1,0.0,0.0,160249.4,0.0,161448.6,0.0,22817.6,0.0,462811.3,0.0,0.0,7353.2
D027,val,1081540.6,0.0,0.0,33734.4,0.0,34547.2,0.0,12320.1,0.0,108500.3,0.0,0.0,3372.8
D028,train,2285681.6,0.0,0.0,188995.0,40967.2,148409.3,0.0,6601.1,130874.5,2611855.8,0.0,0.0,1181.0
D028,val,1157251.9,0.0,0.0,68465.0,40967.2,114608.1,0.0,4802.9,42178.6,1119615.0,0.0,0.0,142.2
D030,train,3803634.2,0.0,0.0,4968.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128370.4,2114600.5
D030,val,799537.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792981.6
D031,train,3040039.7,0.0,0.0,428286.0,0.0,1330192.0,37.7,69495.3,0.0,3720606.2,0.0,0.0,10947.1
D031,val,829806.9,0.0,0.0,219603.2,0.0,174358.0,13.4,6519.7,0.0,361856.1,0.0,0.0,362.1
D033,train,25806439.8,0.0,0.0,938584.2,1034246.9,2381730.7,374529.7,86117.7,1016821.5,5619016.5,0.0,0.0,7463.7
D033,val,8247005.0,0.0,0.0,177554.6,395489.6,767774.1,240626.3,10135.5,492570.2,1452950.3,0.0,0.0,537.0
D034,train,1949133.9,278861.0,0.0,644038.9,0.0,297019.1,86381.3,10510.9,0.0,236358.0,0.0,0.0,1239.3
D034,val,784524.0,73133.0,0.0,416461.7,0.0,72636.1,57019.8,9503.7,0.0,177551.0,0.0,0.0,1690.1
D035,train,14718407.8,120629.6,0.0,549526.8,81039.0,5074738.5,2232113.7,421213.5,0.0,3710.6,0.0,0.0,49401.7
D035,val,2384268.8,37131.5,0.0,145313.5,5254.9,1087438.2,380930.3,88940.1,0.0,1236.9,0.0,0.0,10035.9
D036,train,7193706.9,24.3,63239.3,2127054.2,1062442.1,695208.4,20966.0,150643.7,0.0,437006.0,0.0,0.0,34351.6
D036,val,1709969.3,0.0,19367.0,629376.3,1070.4,68121.2,7557.3,38646.6,0.0,383902.2,0.0,0.0,8524.4
D037,train,18100353.4,365.7,14.6,2092459.7,3603258.3,4125039.5,123837.2,618548.3,0.0,1897168.5,0.0,0.0,15324.7
D037,val,5847099.1,121.5,0.0,345916.6,955298.9,879076.2,18194.6,172134.5,0.0,694847.6,0.0,0.0,5418.9
D039,train,9714561.9,101947.9,0.0,5500430.5,152955.8,9673716.2,109789.4,843902.0,0.0,275058.0,0.0,0.0,63458.0
D039,val,4312180.4,0.0,0.0,1019973.2,128868.5,2196153.5,17685.5,190333.9,0.0,80617.4,0.0,0.0,16784.0
D041,train,3990243.0,0.0,0.0,1260870.4,877542.8,387899.6,0.0,26132.1,339858.6,441217.2,0.0,0.0,1824.9
D041,val,2529428.0,0.0,0.0,920025.2,292454.3,298997.1,0.0,4087.2,263098.8,149847.9,0.0,0.0,1115.4
D042,train,2402136.6,0.0,0.0,7133.2,593147.6,175195.1,0.0,5589.0,0.0,1837.1,0.0,0.0,0.0
D042,val,931604.1,0.0,0.0,0.0,899.1,23008.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D044,train,5091432.5,24819.9,0.0,369356.3,0.0,2176265.2,36010.0,191723.9,355850.4,4376840.0,0.0,0.0,117855.8
D044,val,1318513.4,6762.7,0.0,111308.2,0.0,625912.4,7724.9,53766.0,54830.3,966112.4,0.0,0.0,40108.2
D045,train,6543506.8,0.0,0.0,329748.6,0.0,917160.2,0.0,28975.2,401989.9,3828250.0,0.0,0.0,53515.7
D045,val,2086644.7,0.0,0.0,106381.4,0.0,269442.3,0.0,3817.5,226943.0,1435897.8,0.0,0.0,11423.4
D046,train,808542.0,0.0,0.0,227702.4,0.0,28071.3,0.0,24643.8,51226.7,131345.9,0.0,0.0,2483.5
D047,train,4893015.2,0.0,0.0,164546.9,0.0,685640.3,0.0,9131.9,383342.1,2719794.8,0.0,0.0,62636.7
D047,val,924909.5,0.0,0.0,27732.3,0.0,4737.3,0.0,4784.7,20.7,630334.9,0.0,0.0,0.0
D048,train,2315886.4,0.0,0.0,286349.0,0.0,260716.2,160177.8,32258.1,0.0,744513.0,0.0,0.0,22145.7
D048,val,885277.5,0.0,0.0,42363.3,0.0,267.3,0.0,14401.3,0.0,317567.1,0.0,0.0,14138.9
D049,train,1528622.6,0.0,0.0,0.0,0.0,979925.7,0.0,0.0,0.0,39482.5,0.0,0.0,0.0
D049,val,291471.4,0.0,0.0,0.0,0.0,27032.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D050,train,866539.8,0.0,0.0,0.0,0.0,62687.7,0.0,306.2,0.0,25977.8,0.0,0.0,0.0
D050,val,153169.7,0.0,0.0,0.0,0.0,82520.1,0.0,306.2,0.0,82507.9,0.0,0.0,0.0
D051,train,1908286.9,0.0,0.0,1884.5,316534.3,818.9,0.0,2002.3,0.0,0.0,0.0,0.0,0.0
D051,val,330130.1,0.0,0.0,8850.0,271670.6,23730.1,0.0,2584.3,0.0,0.0,0.0,0.0,42.5
D053,train,2671147.6,0.0,2.4,353985.4,0.0,0.0,37828.9,83.8,0.0,29.2,758969.0,0.0,0.0
D053,val,1749349.7,0.0,0.0,108966.9,47793.1,0.0,16205.6,27.9,0.0,0.0,307183.7,0.0,0.0
D054,train,5738699.6,43747.1,100126.6,1541738.5,0.0,60255.3,235512.4,43516.3,0.0,498216.3,0.0,0.0,19288.1
D054,val,720403.8,14582.4,532.2,165127.6,0.0,0.0,36756.1,4676.5,0.0,11096.6,0.0,0.0,2336.4
D055,train,4900519.0,0.0,0.0,770200.4,2635687.9,241314.0,0.0,77898.2,133541.4,431231.2,0.0,0.0,46219.7
D055,val,1747788.4,0.0,0.0,283179.1,440482.1,87397.1,0.0,39938.1,60124.1,192216.0,0.0,0.0,15409.8
D057,train,3963358.7,0.0,0.0,24703.3,0.0,439354.6,64317.0,9778.3,0.0,218.7,912567.5,0.0,267.3
D057,val,316747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756.9,0.0,0.0
D058,train,1005779.6,0.0,0.0,209346.2,0.0,516005.1,0.0,0.0,179892.3,0.0,0.0,0.0,0.0
D059,train,3524529.0,0.0,0.0,7619.2,0.0,3729015.2,1128.7,55635.9,0.0,2940.3,0.0,0.0,4720.3
D059,val,446890.0,0.0,0.0,23835.8,0.0,1095802.3,1128.7,15767.0,0.0,7517.2,0.0,0.0,1578.3
D060,train,5075904.9,579628.3,4408.0,4611942.9,0.0,1047994.6,0.0,197591.1,0.0,159884.9,0.0,0.0,107287.8
D060,val,417861.3,79900.6,0.0,650508.7,0.0,376268.4,0.0,39867.7,0.0,0.0,0.0,0.0,28112.6
D061,train,756248.6,0.0,0.0,372974.5,0.0,29884.0,0.0,77651.6,0.0,36792.5,0.0,0.0,464.1
D061,val,515850.8,0.0,0.0,71643.4,0.0,0.0,0.0,18207.9,0.0,31305.6,0.0,0.0,0.0
D063,train,15619705.0,0.0,0.0,2046410.1,1339695.7,6457600.5,83199.3,132720.1,2611154.7,7635472.1,0.0,0.0,64978.0
D063,val,2739481.4,0.0,0.0,331809.3,653176.9,744300.3,15197.2,28737.1,71174.5,822801.2,0.0,0.0,7887.8
D064,train,1210536.7,0.0,0.0,109981.4,0.0,524531.9,0.0,13955.4,0.0,2275915.5,0.0,0.0,5629.1
D064,val,200327.3,0.0,0.0,6965.6,0.0,212858.8,0.0,3781.1,0.0,530328.6,0.0,0.0,1250.2
D065,train,3203183.3,0.0,0.0,234542.8,138764.7,0.0,0.0,2319.4,0.0,0.0,0.0,243236.1,0.0
D065,val,672079.8,0.0,0.0,178757.5,0.0,0.0,0.0,692.5,0.0,0.0,0.0,103981.8,0.0
D066,train,1181026.9,54101.3,8193.9,1442693.3,0.0,459427.6,91502.5,98729.3,0.0,768819.0,0.0,0.0,36056.2
D066,val,374882.1,0.0,0.0,189471.3,0.0,154483.1,18726.7,18416.9,0.0,189726.5,0.0,0.0,9805.0
D067,train,869753.5,0.0,0.0,1477.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84280.6,0.0
D067,val,311441.1,0.0,0.0,624.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438.3,0.0
D068,train,1431693.9,0.0,0.0,99104.8,0.0,46055.6,0.0,14712.4,0.0,0.0,0.0,0.0,952.6
D068,val,313818.8,0.0,0.0,4685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D093_L,train,5052873.4,9048.1,5531.9,8569366.4,0.0,109825.9,32326.2,129205.1,96874.0,2525517.0,0.0,0.0,31632.4
D093_L,val,1630825.7,0.0,0.0,515596.8,0.0,8718.8,0.0,11891.2,4680.2,374999.9,0.0,0.0,1318.3
D094,train,1617882.3,0.0,75.3,266745.0,316213.6,19814.2,0.0,3781.1,0.0,5015.5,0.0,0.0,0.0
D094,val,238399.2,0.0,0.0,50536.5,24261.0,5307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D095,train,1567660.5,0.0,0.0,484565.8,0.0,119621.2,0.0,33713.7,0.0,23580.6,0.0,0.0,385.2
D095,val,443059.1,0.0,0.0,146325.6,0.0,37265.1,0.0,7904.8,0.0,2221.0,0.0,0.0,232.1
D098,train,3306896.5,0.0,0.0,0.0,0.0,635359.0,0.0,112319.1,0.0,0.0,2631219.2,0.0,2787.2
D098,val,851822.6,0.0,0.0,0.0,0.0,31119.7,0.0,11830.4,0.0,0.0,378885.5,0.0,357.2
D099,train,1888302.7,0.0,0.0,15911.6,0.0,6808.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D101,train,1588833.0,171660.7,54101.3,559737.6,0.0,0.0,49645.9,52546.1,0.0,65.6,0.0,0.0,71440.5
D101,val,50243.7,35812.0,15624.8,186535.9,0.0,0.0,0.0,13372.2,0.0,21.9,0.0,0.0,16893.3
D123,train,2276644.5,72.9,0.0,0.0,5893927.5,0.0,2.4,109678.9,0.0,0.0,0.0,0.0,774.0
D123,val,468721.1,24.3,0.0,0.0,2368573.5,0.0,7.3,28966.7,0.0,0.0,0.0,0.0,241.8
D128,train,4076996.1,0.0,0.0,0.0,3803314.6,1993308.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D128,val,100810.6,0.0,0.0,0.0,180090.3,37602.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D129,train,5759460.3,6152.7,0.0,7642933.4,0.0,1281962.7,549794.1,360136.9,0.0,293773.8,381.5,25.5,30571.7
D129,val,1233076.1,2.4,0.0,1086322.9,0.0,111740.7,56793.8,49388.4,0.0,7948.5,17.0,1.2,2739.8
D130,train,1813756.6,0.0,0.0,41975.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284817.8,0.0
D130,val,219388.1,0.0,0.0,25398.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710725.1,0.0
